OBJECTID,taxon_kingdom_name,taxon_phylum_name,taxon_class_name,taxon_order_name,taxon_family_name,taxon_genus_name,taxon_species_name,taxon_infraspecific_name,taxon_category_name,scientific_name,common_name,taxon_rank,long,lat,center_x,center_y
12375,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Symphyotrichum,chilense,,Plantae,Symphyotrichum chilense,Pacific Aster,species,-122.83927999999997,38.015430550000076,-122.89482290799998,38.01598558650005
12376,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Astur,cooperii,,Aves,Astur cooperii,Cooper's Hawk,species,-122.87982069999998,38.04863380000006,-122.89482290799998,38.01598558650005
12377,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Passerella,iliaca,,Aves,Passerella iliaca,Fox Sparrow,species,-122.87685105299994,38.02558423000005,-122.89482290799998,38.01598558650005
12378,Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Eupeodes,fumipennis,,Insecta,Eupeodes fumipennis,Western Aphideater,species,-122.86845833299998,38.05066388900008,-122.89482290799998,38.01598558650005
12379,Animalia,Chordata,Aves,Cathartiformes,Cathartidae,Cathartes,aura,,Aves,Cathartes aura,Turkey Vulture,species,-122.88666317599996,38.03470911800008,-122.89482290799998,38.01598558650005
12380,Plantae,Tracheophyta,Magnoliopsida,Ericales,Primulaceae,Lysimachia,arvensis,,Plantae,Lysimachia arvensis,scarlet pimpernel,species,-122.97461443599997,37.993909073000054,-122.89482290799998,38.01598558650005
12381,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Arenaria,melanocephala,,Aves,Arenaria melanocephala,Black Turnstone,species,-122.95865957299998,38.02780726000003,-122.89482290799998,38.01598558650005
12382,Animalia,Arthropoda,Insecta,Coleoptera,Chrysomelidae,Chrysolina,bankii,,Insecta,Chrysolina bankii,Bronze Beetle,species,-122.79672166699999,38.00347221700008,-122.89482290799998,38.01598558650005
12383,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rhamnaceae,Frangula,californica,,Plantae,Frangula californica,California buckthorn,species,-122.87596666699994,38.04588611100007,-122.89482290799998,38.01598558650005
12384,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rhamnaceae,Ceanothus,thyrsiflorus,,Plantae,Ceanothus thyrsiflorus,blueblossom,species,-122.96625499999999,37.99082500000003,-122.89482290799998,38.01598558650005
12385,Animalia,Chordata,Aves,Accipitriformes,Pandionidae,Pandion,haliaetus,,Aves,Pandion haliaetus,Osprey,species,-122.92367650299997,38.054541468000025,-122.89482290799998,38.01598558650005
12386,Animalia,Chordata,Mammalia,Carnivora,Phocidae,Mirounga,angustirostris,,Mammalia,Mirounga angustirostris,Northern Elephant Seal,species,-122.96214166699997,38.027533333000065,-122.89482290799998,38.01598558650005
12387,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosa,californica,,Plantae,Rosa californica,California Wild Rose,species,-122.88414666699998,38.03121116700004,-122.89482290799998,38.01598558650005
12388,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Autographa,californica,,Insecta,Autographa californica,Alfalfa Looper,species,-122.98299644299999,37.997074413000064,-122.89482290799998,38.01598558650005
12389,Plantae,Tracheophyta,Liliopsida,Liliales,Liliaceae,Calochortus,tolmiei,,Plantae,Calochortus tolmiei,Tolmie's pussy ears,species,-122.96715499999999,37.99148833300006,-122.89482290799998,38.01598558650005
12390,Plantae,Tracheophyta,Magnoliopsida,Oxalidales,Oxalidaceae,Oxalis,pes-caprae,,Plantae,Oxalis pes-caprae,Bermuda-buttercup,species,-122.84955499999995,38.04140833300005,-122.89482290799998,38.01598558650005
12391,Animalia,Chordata,Aves,Passeriformes,Regulidae,Corthylio,calendula,,Aves,Corthylio calendula,Ruby-crowned Kinglet,species,-122.97806833299995,37.99439166700006,-122.89482290799998,38.01598558650005
12392,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Limosa,fedoa,,Aves,Limosa fedoa,Marbled Godwit,species,-122.94828265799998,38.02807233000004,-122.89482290799998,38.01598558650005
12393,Animalia,Chordata,Aves,Pelecaniformes,Pelecanidae,Pelecanus,occidentalis,californicus,Aves,Pelecanus occidentalis californicus,California Brown Pelican,subspecies,-122.89414230699998,38.02719397800007,-122.89482290799998,38.01598558650005
12394,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Naemateliaceae,Naematelia,encephala,,Fungi,Naematelia encephala,Conifer Brain,species,-122.81156166699998,38.02050000000003,-122.89482290799998,38.01598558650005
12395,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Violaceae,Viola,adunca,,Plantae,Viola adunca,hookedspur violet,species,-122.97638666699999,37.994013333000055,-122.89482290799998,38.01598558650005
12396,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris,alba,,Aves,Calidris alba,Sanderling,species,-122.96979905899997,38.02205966100007,-122.89482290799998,38.01598558650005
12397,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Pisaster,ochraceus,,Other,Pisaster ochraceus,Ochre Sea Star,species,-122.85005259999997,38.01248390000006,-122.89482290799998,38.01598558650005
12398,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Chorizanthe,cuspidata,,Plantae,Chorizanthe cuspidata,San Francisco spineflower,species,-122.97179365499994,38.05177866300005,-122.89482290799998,38.01598558650005
12399,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Linaceae,Linum,bienne,,Plantae,Linum bienne,Pale flax,species,-122.98640534999998,37.99577604000007,-122.89482290799998,38.01598558650005
12400,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Zantedeschia,aethiopica,,Plantae,Zantedeschia aethiopica,calla lily,species,-122.98299499999996,38.047808333000035,-122.89482290799998,38.01598558650005
12401,Animalia,Chordata,Aves,Columbiformes,Columbidae,Streptopelia,decaocto,,Aves,Streptopelia decaocto,Eurasian Collared-Dove,species,-122.97957527499995,37.995324003000064,-122.89482290799998,38.01598558650005
12402,Animalia,Cnidaria,Hydrozoa,Anthoathecata,Porpitidae,Velella,velella,,Other,Velella velella,By-the-wind Sailor,species,-122.88603097199996,38.026215206000074,-122.89482290799998,38.01598558650005
12403,Animalia,Arthropoda,Malacostraca,Decapoda,Cancridae,Metacarcinus,magister,,Other,Metacarcinus magister,Dungeness Crab,species,-122.94286446699999,38.03114937200007,-122.89482290799998,38.01598558650005
12404,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Viburnaceae,Sambucus,racemosa,,Plantae,Sambucus racemosa,red elderberry,species,-122.88530551899998,38.04739129300003,-122.89482290799998,38.01598558650005
12405,Animalia,Chordata,Aves,Galliformes,Odontophoridae,Callipepla,californica,,Aves,Callipepla californica,California Quail,species,-122.86859166699998,38.051166667000075,-122.89482290799998,38.01598558650005
12406,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Nereocystis,luetkeana,,Other,Nereocystis luetkeana,Bull Kelp,species,-122.88555974199994,38.025723682000034,-122.89482290799998,38.01598558650005
