OBJECTID,taxon_kingdom_name,taxon_phylum_name,taxon_class_name,taxon_order_name,taxon_family_name,taxon_genus_name,taxon_species_name,taxon_infraspecific_name,taxon_category_name,scientific_name,common_name,taxon_rank,SHAPE,long,lat,center_x,center_y
87427424,Animalia,Chordata,Aves,Passeriformes,Parulidae,Setophaga,townsendi,,Aves,Setophaga townsendi,Townsend's Warbler,species,"{'x': -122.96154630899997, 'y': 38.02831162100006, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}",-122.96154630899997,38.02831162100006,-122.90530061399994,38.02782775950004
82400614,Animalia,Chordata,Mammalia,Carnivora,Phocidae,Mirounga,angustirostris,,Mammalia,Mirounga angustirostris,Northern Elephant Seal,species,"{'x': -122.96159800899994, 'y': 38.02745148100007, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}",-122.96159800899994,38.02745148100007,-122.90530061399994,38.02782775950004
11473328,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rubus,spectabilis,,Plantae,Rubus spectabilis,Salmonberry,species,"{'x': -122.87258833299995, 'y': 38.029233333000036, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}",-122.87258833299995,38.029233333000036,-122.90530061399994,38.02782775950004
143653184,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Lagurus,ovatus,,Plantae,Lagurus ovatus,Hare's Tail Grass,species,"{'x': -122.96154299999995, 'y': 38.028384000000074, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}",-122.96154299999995,38.028384000000074,-122.90530061399994,38.02782775950004
49883250,Animalia,Chordata,Aves,Columbiformes,Columbidae,Columba,livia,,Aves,Columba livia,Rock Pigeon,species,"{'x': -122.96155666699997, 'y': 38.02818416700006, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}",-122.96155666699997,38.02818416700006,-122.90530061399994,38.02782775950004
122557847,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus,heermanni,,Aves,Larus heermanni,Heermann's Gull,species,"{'x': -122.961612635, 'y': 38.027166125000065, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}",-122.961612635,38.027166125000065,-122.90530061399994,38.02782775950004
26470446,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Nyctaginaceae,Abronia,umbellata,,Plantae,Abronia umbellata,Pink Sand Verbena,species,"{'x': -122.96159999999998, 'y': 38.02744716700005, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}",-122.96159999999998,38.02744716700005,-122.90530061399994,38.02782775950004
33737340,Animalia,Chordata,Mammalia,Carnivora,Phocidae,Mirounga,angustirostris,,Mammalia,Mirounga angustirostris,Northern Elephant Seal,species,"{'x': -122.96159786299995, 'y': 38.02749645600005, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}",-122.96159786299995,38.02749645600005,-122.90530061399994,38.02782775950004
52890887,Animalia,Chordata,Mammalia,Carnivora,Phocidae,Mirounga,angustirostris,,Mammalia,Mirounga angustirostris,Northern Elephant Seal,species,"{'x': -122.96161211999998, 'y': 38.02724361200006, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}",-122.96161211999998,38.02724361200006,-122.90530061399994,38.02782775950004
11445415,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,Coccinella,septempunctata,,Insecta,Coccinella septempunctata,Seven-spotted Ladybird Beetle,species,"{'x': -122.96161211999998, 'y': 38.02724361200006, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}",-122.96161211999998,38.02724361200006,-122.90530061399994,38.02782775950004
41550255,Animalia,Chordata,Mammalia,Carnivora,Phocidae,Mirounga,angustirostris,,Mammalia,Mirounga angustirostris,Northern Elephant Seal,species,"{'x': -122.96160162999996, 'y': 38.02746979400007, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}",-122.96160162999996,38.02746979400007,-122.90530061399994,38.02782775950004
75898618,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus,delawarensis,,Aves,Larus delawarensis,Ring-billed Gull,species,"{'x': -122.96157749999998, 'y': 38.02791560000003, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}",-122.96157749999998,38.02791560000003,-122.90530061399994,38.02782775950004
86649964,Animalia,Chordata,Mammalia,Carnivora,Phocidae,Mirounga,angustirostris,,Mammalia,Mirounga angustirostris,Northern Elephant Seal,species,"{'x': -122.96158342199999, 'y': 38.02783124500007, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}",-122.96158342199999,38.02783124500007,-122.90530061399994,38.02782775950004
138943793,Plantae,Tracheophyta,Liliopsida,Asparagales,Iridaceae,Romulea,rosea,,Plantae,Romulea rosea,Rosy sandcrocus,species,"{'x': -122.87255220099996, 'y': 38.02887814500008, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}",-122.87255220099996,38.02887814500008,-122.90530061399994,38.02782775950004
11635934,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Tringa,semipalmata,,Aves,Tringa semipalmata,Willet,species,"{'x': -122.91812901999998, 'y': 38.06986685500004, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}",-122.91812901999998,38.06986685500004,-122.90530061399994,38.02782775950004
132159108,Animalia,Arthropoda,Malacostraca,Decapoda,Hippidae,Emerita,analoga,,Other,Emerita analoga,Pacific Sand Crab,species,"{'x': -122.96162499999997, 'y': 38.026980500000036, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}",-122.96162499999997,38.026980500000036,-122.90530061399994,38.02782775950004
122737901,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,Lonicera,involucrata,ledebourii,Plantae,Lonicera involucrata ledebourii,coast twinberry,variety,"{'x': -122.91799228299999, 'y': 38.06987016800008, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}",-122.91799228299999,38.06987016800008,-122.90530061399994,38.02782775950004
109102172,Animalia,Chordata,Aves,Passeriformes,Sittidae,Sitta,canadensis,,Aves,Sitta canadensis,Red-breasted Nuthatch,species,"{'x': -122.96156333299996, 'y': 38.02819000000005, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}",-122.96156333299996,38.02819000000005,-122.90530061399994,38.02782775950004
10773135,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Numenius,americanus,,Aves,Numenius americanus,Long-billed Curlew,species,"{'x': -122.96160987199994, 'y': 38.02737122800005, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}",-122.96160987199994,38.02737122800005,-122.90530061399994,38.02782775950004
75762300,Animalia,Echinodermata,Echinoidea,Echinolampadacea,Dendrasteridae,Dendraster,excentricus,,Other,Dendraster excentricus,Eccentric Sand Dollar,species,"{'x': -122.96160775999999, 'y': 38.02747960100004, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}",-122.96160775999999,38.02747960100004,-122.90530061399994,38.02782775950004
